lakcSzavkorSzavaz,magyarLakc,levelben,szumma,partlistara,induloSzumma,induloMagyarLakc,induloLevel,nemzreSzavaz,bolgar,gorog,horvat,lengyel,nemet,ormeny,roma,roman,ruszin,szerb,szlovak,szloven,ukran,braille_sablon,konny_tajek,braille_ertesito,version
7794404,7794404,426941,8221345,8146635,8221065,7795109,425956,74710,180,404,2447,441,32053,323,33090,1105,1142,691,1732,282,820,169,24678,287,1131852
7793066,7793066,427339,8220405,8145718,8221065,7795109,425956,74687,180,404,2447,441,32036,323,33086,1105,1142,691,1730,282,820,169,24680,287,01161935
