sorszam,szk_nev,evk,evk_nev,cim,akadaly,szamlKijelolt,atjKijelolt,telepSzintu,indulo,honos,osszesen,maz,taz,version
073,"Budapest III. kerület, 073. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1031 Budapest 03, Arató Emil tér 1. (Általános Iskola)",N,N,N,N,854,852,852,01,003,01131852
074,"Budapest III. kerület, 074. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1031 Budapest 03, Arató Emil tér 1. (Általános Iskola)",N,N,N,N,874,874,874,01,003,01131852
075,"Budapest III. kerület, 075. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1031 Budapest 03, Arató Emil tér 1. (Általános Iskola)",N,N,N,N,732,732,732,01,003,01131852
076,"Budapest III. kerület, 076. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1031 Budapest 03, Arató Emil tér 1. (Általános Iskola)",N,N,N,N,997,997,997,01,003,01131852
077,"Budapest III. kerület, 077. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1031 Budapest 03, Arató Emil tér 2. (Óvoda)",I,N,N,N,856,857,857,01,003,01131852
078,"Budapest III. kerület, 078. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1031 Budapest 03, Keve utca 41. (Általános Iskola)",N,N,N,N,853,854,854,01,003,01131852
079,"Budapest III. kerület, 079. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1031 Budapest 03, Keve utca 41. (Általános Iskola)",N,N,N,N,921,920,920,01,003,01131852
080,"Budapest III. kerület, 080. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1031 Budapest 03, Keve utca 41. (Általános Iskola)",N,N,N,N,926,925,925,01,003,01131852
081,"Budapest III. kerület, 081. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1031 Budapest 03, Keve utca 41. (Általános Iskola)",N,N,N,N,973,972,972,01,003,01131852
082,"Budapest III. kerület, 082. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Hunyadi utca 8-10. (Óvoda)",I,N,N,N,1053,1052,1052,01,003,01131852
083,"Budapest III. kerület, 083. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1038 Budapest 03, Fodros utca 38-40. (Általános Iskola)",N,N,N,N,1016,1016,1016,01,003,01131852
084,"Budapest III. kerület, 084. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Királyok útja 178/E. (Általános Iskola)",I,N,N,N,917,916,916,01,003,01131852
085,"Budapest III. kerület, 085. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Királyok útja 178/E. (Általános Iskola)",I,N,N,N,801,801,801,01,003,01131852
086,"Budapest III. kerület, 086. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Medgyessy Ferenc utca 2-4. (Általános Iskola)",N,N,N,N,794,794,794,01,003,01131852
087,"Budapest III. kerület, 087. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Medgyessy Ferenc utca 2-4. (Általános Iskola)",N,N,N,N,935,935,935,01,003,01131852
088,"Budapest III. kerület, 088. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Medgyessy Ferenc utca 2-4. (Általános Iskola)",N,N,N,N,862,862,862,01,003,01131852
089,"Budapest III. kerület, 089. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Medgyessy Ferenc utca 2-4. (Általános Iskola)",N,N,N,N,977,977,977,01,003,01131852
090,"Budapest III. kerület, 090. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Medgyessy Ferenc utca 2-4. (Általános Iskola)",N,N,N,N,812,812,812,01,003,01131852
091,"Budapest III. kerület, 091. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 1-3. (Általános Iskola)",N,N,N,N,741,741,741,01,003,01131852
092,"Budapest III. kerület, 092. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 1-3. (Általános Iskola)",N,N,N,N,955,955,955,01,003,01131852
093,"Budapest III. kerület, 093. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 1-3. (Általános Iskola)",N,N,N,N,884,884,884,01,003,01131852
094,"Budapest III. kerület, 094. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 1-3. (Általános Iskola)",N,N,N,N,786,786,786,01,003,01131852
095,"Budapest III. kerület, 095. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 4. (Szakiskola)",I,N,N,N,797,796,796,01,003,01131852
096,"Budapest III. kerület, 096. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 4. (Szakiskola)",I,N,N,N,967,967,967,01,003,01131852
097,"Budapest III. kerület, 097. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 4. (Szakiskola)",I,N,N,N,967,968,968,01,003,01131852
098,"Budapest III. kerület, 098. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 4. (Szakiskola)",I,N,N,N,702,702,702,01,003,01131852
099,"Budapest III. kerület, 099. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 4. (Szakiskola)",I,N,N,N,958,957,957,01,003,01131852
100,"Budapest III. kerület, 100. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Zipernowsky Károly utca 4. (Szakiskola)",I,N,N,N,860,857,857,01,003,01131852
101,"Budapest III. kerület, 101. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Bárczi Géza utca 2. (Általános Iskola)",I,N,N,N,855,855,855,01,003,01131852
102,"Budapest III. kerület, 102. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Bárczi Géza utca 2. (Általános Iskola)",I,N,N,N,883,883,883,01,003,01131852
103,"Budapest III. kerület, 103. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Bárczi Géza utca 2. (Általános Iskola)",I,N,N,N,841,841,841,01,003,01131852
