maz,maz_nev,evk,evk_nev,szekhely,indulo,honos,osszesen,version
7,FEJÉR,4,"FEJÉR, 04. számú OEVK",Dunaújváros,66420,66406,66406,1131852
7,FEJÉR,5,"FEJÉR, 05. számú OEVK",Sárbogárd,67578,67568,67568,1131852
8,GYŐR-MOSON-SOPRON,1,"GYŐR-MOSON-SOPRON, 01. számú OEVK",Győr,66855,66859,66859,1131852
8,GYŐR-MOSON-SOPRON,2,"GYŐR-MOSON-SOPRON, 02. számú OEVK",Győr,73327,73314,73314,1131852
8,GYŐR-MOSON-SOPRON,3,"GYŐR-MOSON-SOPRON, 03. számú OEVK",Csorna,66911,66905,66905,1131852
8,GYŐR-MOSON-SOPRON,4,"GYŐR-MOSON-SOPRON, 04. számú OEVK",Sopron,75699,75700,75700,1131852
8,GYŐR-MOSON-SOPRON,5,"GYŐR-MOSON-SOPRON, 05. számú OEVK",Mosonmagyaróvár,77327,77326,77326,1131852
9,HAJDÚ-BIHAR,1,"HAJDÚ-BIHAR, 01. számú OEVK",Debrecen,66623,66614,66614,1131852
9,HAJDÚ-BIHAR,2,"HAJDÚ-BIHAR, 02. számú OEVK",Debrecen,72581,72573,72573,1131852
9,HAJDÚ-BIHAR,3,"HAJDÚ-BIHAR, 03. számú OEVK",Debrecen,78578,78582,78582,1131852
9,HAJDÚ-BIHAR,4,"HAJDÚ-BIHAR, 04. számú OEVK",Berettyóújfalu,68242,68231,68231,1131852
9,HAJDÚ-BIHAR,5,"HAJDÚ-BIHAR, 05. számú OEVK",Hajdúszoboszló,69953,69952,69952,1131852
9,HAJDÚ-BIHAR,6,"HAJDÚ-BIHAR, 06. számú OEVK",Hajdúböszörmény,70027,70021,70021,1131852
10,HEVES,1,"HEVES, 01. számú OEVK",Eger,81627,81629,81629,1131852
10,HEVES,2,"HEVES, 02. számú OEVK",Gyöngyös,77344,77332,77332,1131852
10,HEVES,3,"HEVES, 03. számú OEVK",Hatvan,80057,80048,80048,1131852
11,JÁSZ-NAGYKUN-SZOLNOK,1,"JÁSZ-NAGYKUN-SZOLNOK, 01. számú OEVK",Szolnok,77899,77884,77884,1131852
11,JÁSZ-NAGYKUN-SZOLNOK,2,"JÁSZ-NAGYKUN-SZOLNOK, 02. számú OEVK",Jászberény,71148,71133,71133,1131852
11,JÁSZ-NAGYKUN-SZOLNOK,3,"JÁSZ-NAGYKUN-SZOLNOK, 03. számú OEVK",Karcag,75558,75553,75553,1131852
11,JÁSZ-NAGYKUN-SZOLNOK,4,"JÁSZ-NAGYKUN-SZOLNOK, 04. számú OEVK",Törökszentmiklós,74221,74218,74218,1131852
12,KOMÁROM-ESZTERGOM,1,"KOMÁROM-ESZTERGOM, 01. számú OEVK",Tatabánya,78987,78978,78978,1131852
12,KOMÁROM-ESZTERGOM,2,"KOMÁROM-ESZTERGOM, 02. számú OEVK",Esztergom,82077,82077,82077,1131852
12,KOMÁROM-ESZTERGOM,3,"KOMÁROM-ESZTERGOM, 03. számú OEVK",Komárom,82534,82528,82528,1131852
13,NÓGRÁD,1,"NÓGRÁD, 01. számú OEVK",Salgótarján,75715,75707,75707,1131852
13,NÓGRÁD,2,"NÓGRÁD, 02. számú OEVK",Balassagyarmat,79139,79146,79146,1131852
14,PEST,1,"PEST, 01. számú OEVK",Érd,87250,87242,87242,1131852
14,PEST,2,"PEST, 02. számú OEVK",Budakeszi,94521,94521,94521,1131852
14,PEST,3,"PEST, 03. számú OEVK",Szentendre,92415,92420,92420,1131852
14,PEST,4,"PEST, 04. számú OEVK",Vác,75308,75296,75296,1131852
14,PEST,5,"PEST, 05. számú OEVK",Dunakeszi,97882,97874,97874,1131852
14,PEST,6,"PEST, 06. számú OEVK",Gödöllő,90972,90973,90973,1131852
14,PEST,7,"PEST, 07. számú OEVK",Vecsés,90779,90792,90792,1131852
14,PEST,8,"PEST, 08. számú OEVK",Szigetszentmiklós,92303,92314,92314,1131852
14,PEST,9,"PEST, 09. számú OEVK",Nagykáta,77019,77017,77017,1131852
14,PEST,10,"PEST, 10. számú OEVK",Monor,79371,79381,79381,1131852
14,PEST,11,"PEST, 11. számú OEVK",Dabas,89253,89253,89253,1131852
14,PEST,12,"PEST, 12. számú OEVK",Cegléd,74538,74531,74531,1131852
15,SOMOGY,1,"SOMOGY, 01. számú OEVK",Kaposvár,61662,61664,61664,1131852
15,SOMOGY,2,"SOMOGY, 02. számú OEVK",Barcs,59695,59688,59688,1131852
15,SOMOGY,3,"SOMOGY, 03. számú OEVK",Marcali,62546,62542,62542,1131852
15,SOMOGY,4,"SOMOGY, 04. számú OEVK",Siófok,64664,64647,64647,1131852
16,SZABOLCS-SZATMÁR-BEREG,1,"SZABOLCS-SZATMÁR-BEREG, 01. számú OEVK",Nyíregyháza,74072,74058,74058,1131852
16,SZABOLCS-SZATMÁR-BEREG,2,"SZABOLCS-SZATMÁR-BEREG, 02. számú OEVK",Nyíregyháza,71807,71809,71809,1131852
16,SZABOLCS-SZATMÁR-BEREG,3,"SZABOLCS-SZATMÁR-BEREG, 03. számú OEVK",Kisvárda,77986,77956,77956,1131852
16,SZABOLCS-SZATMÁR-BEREG,4,"SZABOLCS-SZATMÁR-BEREG, 04. számú OEVK",Vásárosnamény,73160,73156,73156,1131852
16,SZABOLCS-SZATMÁR-BEREG,5,"SZABOLCS-SZATMÁR-BEREG, 05. számú OEVK",Mátészalka,73504,73494,73494,1131852
16,SZABOLCS-SZATMÁR-BEREG,6,"SZABOLCS-SZATMÁR-BEREG, 06. számú OEVK",Nyírbátor,72077,72075,72075,1131852
17,TOLNA,1,"TOLNA, 01. számú OEVK",Szekszárd,59740,59734,59734,1131852
17,TOLNA,2,"TOLNA, 02. számú OEVK",Dombóvár,59016,59003,59003,1131852
17,TOLNA,3,"TOLNA, 03. számú OEVK",Paks,59206,59194,59194,1131852
18,VAS,1,"VAS, 01. számú OEVK",Szombathely,68601,68599,68599,1131852
18,VAS,2,"VAS, 02. számú OEVK",Sárvár,68366,68353,68353,1131852
18,VAS,3,"VAS, 03. számú OEVK",Körmend,66572,66566,66566,1131852
19,VESZPRÉM,1,"VESZPRÉM, 01. számú OEVK",Veszprém,70651,70642,70642,1131852
19,VESZPRÉM,2,"VESZPRÉM, 02. számú OEVK",Balatonfüred,74002,73996,73996,1131852
19,VESZPRÉM,3,"VESZPRÉM, 03. számú OEVK",Tapolca,67793,67794,67794,1131852
19,VESZPRÉM,4,"VESZPRÉM, 04. számú OEVK",Pápa,68747,68740,68740,1131852
20,ZALA,1,"ZALA, 01. számú OEVK",Zalaegerszeg,75280,75268,75268,1131852
20,ZALA,2,"ZALA, 02. számú OEVK",Keszthely,74039,74035,74035,1131852
20,ZALA,3,"ZALA, 03. számú OEVK",Nagykanizsa,72173,72155,72155,1131852
01,BUDAPEST,01,"BUDAPEST, 01. számú OEVK",Budapest V. kerület,60071,60039,60039,01161935
01,BUDAPEST,02,"BUDAPEST, 02. számú OEVK",Budapest XI. kerület,67022,67023,67023,01161935
01,BUDAPEST,03,"BUDAPEST, 03. számú OEVK",Budapest XII. kerület,64649,64635,64635,01161935
01,BUDAPEST,04,"BUDAPEST, 04. számú OEVK",Budapest II. kerület,71456,71468,71468,01161935
01,BUDAPEST,05,"BUDAPEST, 05. számú OEVK",Budapest VII. kerület,59306,59301,59301,01161935
01,BUDAPEST,06,"BUDAPEST, 06. számú OEVK",Budapest VIII. kerület,68703,68681,68681,01161935
01,BUDAPEST,07,"BUDAPEST, 07. számú OEVK",Budapest XIII. kerület,79567,79514,79514,01161935
01,BUDAPEST,08,"BUDAPEST, 08. számú OEVK",Budapest XIV. kerület,75157,75123,75123,01161935
01,BUDAPEST,09,"BUDAPEST, 09. számú OEVK",Budapest X. kerület,72553,72500,72500,01161935
01,BUDAPEST,10,"BUDAPEST, 10. számú OEVK",Budapest III. kerület,70046,70011,70011,01161935
01,BUDAPEST,11,"BUDAPEST, 11. számú OEVK",Budapest IV. kerület,74892,74887,74887,01161935
01,BUDAPEST,12,"BUDAPEST, 12. számú OEVK",Budapest XV. kerület,72352,72311,72311,01161935
01,BUDAPEST,13,"BUDAPEST, 13. számú OEVK",Budapest XVI. kerület,69191,69176,69176,01161935
01,BUDAPEST,14,"BUDAPEST, 14. számú OEVK",Budapest XVII. kerület,74616,74591,74591,01161935
01,BUDAPEST,15,"BUDAPEST, 15. számú OEVK",Budapest XVIII. kerület,78444,78409,78409,01161935
01,BUDAPEST,16,"BUDAPEST, 16. számú OEVK",Budapest XX. kerület,69849,69831,69831,01161935
01,BUDAPEST,17,"BUDAPEST, 17. számú OEVK",Budapest XXI. kerület,74936,74912,74912,01161935
01,BUDAPEST,18,"BUDAPEST, 18. számú OEVK",Budapest XXII. kerület,77373,77368,77368,01161935
02,BARANYA,01,"BARANYA, 01. számú OEVK",Pécs,74858,74823,74823,01161935
02,BARANYA,02,"BARANYA, 02. számú OEVK",Pécs,77078,77041,77041,01161935
02,BARANYA,03,"BARANYA, 03. számú OEVK",Mohács,71185,71169,71169,01161935
02,BARANYA,04,"BARANYA, 04. számú OEVK",Szigetvár,76253,76238,76238,01161935
03,BÁCS-KISKUN,01,"BÁCS-KISKUN, 01. számú OEVK",Kecskemét,69417,69417,69417,01161935
03,BÁCS-KISKUN,02,"BÁCS-KISKUN, 02. számú OEVK",Kecskemét,72252,72224,72224,01161935
03,BÁCS-KISKUN,03,"BÁCS-KISKUN, 03. számú OEVK",Kalocsa,65655,65635,65635,01161935
03,BÁCS-KISKUN,04,"BÁCS-KISKUN, 04. számú OEVK",Kiskunfélegyháza,71922,71908,71908,01161935
03,BÁCS-KISKUN,05,"BÁCS-KISKUN, 05. számú OEVK",Kiskunhalas,68648,68623,68623,01161935
03,BÁCS-KISKUN,06,"BÁCS-KISKUN, 06. számú OEVK",Baja,65029,65001,65001,01161935
04,BÉKÉS,01,"BÉKÉS, 01. számú OEVK",Békéscsaba,68842,68815,68815,01161935
04,BÉKÉS,02,"BÉKÉS, 02. számú OEVK",Békés,69626,69592,69592,01161935
04,BÉKÉS,03,"BÉKÉS, 03. számú OEVK",Gyula,68134,68099,68099,01161935
04,BÉKÉS,04,"BÉKÉS, 04. számú OEVK",Orosháza,71996,71963,71963,01161935
05,BORSOD-ABAÚJ-ZEMPLÉN,01,"BORSOD-ABAÚJ-ZEMPLÉN, 01. számú OEVK",Miskolc,72904,72904,72904,01161935
05,BORSOD-ABAÚJ-ZEMPLÉN,02,"BORSOD-ABAÚJ-ZEMPLÉN, 02. számú OEVK",Miskolc,71769,71741,71741,01161935
05,BORSOD-ABAÚJ-ZEMPLÉN,03,"BORSOD-ABAÚJ-ZEMPLÉN, 03. számú OEVK",Ózd,71087,71060,71060,01161935
05,BORSOD-ABAÚJ-ZEMPLÉN,04,"BORSOD-ABAÚJ-ZEMPLÉN, 04. számú OEVK",Kazincbarcika,74640,74614,74614,01161935
05,BORSOD-ABAÚJ-ZEMPLÉN,05,"BORSOD-ABAÚJ-ZEMPLÉN, 05. számú OEVK",Sátoraljaújhely,73838,73817,73817,01161935
05,BORSOD-ABAÚJ-ZEMPLÉN,06,"BORSOD-ABAÚJ-ZEMPLÉN, 06. számú OEVK",Tiszaújváros,76433,76411,76411,01161935
05,BORSOD-ABAÚJ-ZEMPLÉN,07,"BORSOD-ABAÚJ-ZEMPLÉN, 07. számú OEVK",Mezőkövesd,75940,75910,75910,01161935
